HLA-A,gene
HLA-B,gene
HLA-C,gene
HLA-E,gene
HLA-F,gene
HLA-G,gene
HLA-H,pseudogene
HLA-J,pseudogene
HLA-K,pseudogene
HLA-L,pseudogene
HLA-N,pseudogene
HLA-P,pseudogene
HLA-S,pseudogene
HLA-T,pseudogene
HLA-U,pseudogene
HLA-V,pseudogene
HLA-W,pseudogene
HLA-X,pseudogene
HLA-Y,pseudogene
HLA-Z,pseudogene
HLA-DRA,gene
HLA-DRB1,gene
HLA-DRB2,pseudogene
HLA-DRB3,gene
HLA-DRB4,gene
HLA-DRB5,gene
HLA-DRB6,pseudogene
HLA-DRB7,pseudogene
HLA-DRB8,pseudogene
HLA-DRB9,pseudogene
HLA-DQA1,gene
HLA-DQB1,gene
HLA-DQA2,gene
HLA-DQB2,gene
HLA-DQB3,gene
HLA-DOA,gene
HLA-DOB,gene
HLA-DMA,gene
HLA-DMB,gene
HLA-DPA1,gene
HLA-DPB1,gene
HLA-DPA2,pseudogene
HLA-DPB2,pseudogene
HLA-DPA3,pseudogene
HLA-HFE,gene
TAP1,gene
TAP2,gene
PSMB9,gene
PSMB8,gene
MICA,gene
MICB,gene
MICC,pseudogene
MICD,pseudogene
MICE,pseudogene
